"id";"cliente_id";"tienda_id";"total";"estado";"fecha_creacion";"fecha_pago";"fecha_despacho";"fecha_recojo";"tipo_pago"
1;1;1;150.0;"ENTREGADO";"2026-03-13 00:00:00";"2026-03-13 15:24:16";"2026-07-13 15:24:39";"2026-07-13 15:24:46";5
2;1;1;30.4;"ENTREGADO";"2026-03-13 15:23:50";"2026-03-13 15:23:56";"2026-07-13 23:43:35";"2026-07-13 23:43:44";4
3;1;16;120.1;"ENTREGADO";"2026-03-13 23:35:35";"2026-03-13 23:35:44";"2026-07-13 23:43:37";"2026-07-13 23:43:46";5
4;1;15;2355.5;"ENTREGADO";"2026-03-13 23:38:10";"2026-03-13 23:38:16";"2026-07-13 23:43:39";"2026-07-13 23:43:48";4
5;1;14;3432.3;"ENTREGADO";"2026-03-13 23:42:05";"2026-03-13 23:42:12";"2026-07-13 23:43:40";"2026-07-13 23:43:50";3
6;1;14;4806.6;"ENTREGADO";"2026-04-13 23:55:37";"2026-04-13 23:55:42";"2026-07-14 00:00:02";"2026-07-14 00:00:10";2
7;1;13;2540.9;"ENTREGADO";"2026-04-13 23:58:04";"2026-04-13 23:58:09";"2026-07-14 00:00:04";"2026-07-14 00:00:12";3
8;1;13;3027.3;"ENTREGADO";"2026-04-13 23:59:33";"2026-04-13 23:59:38";"2026-07-14 00:00:06";"2026-07-14 00:00:13";4
9;1;12;2147.4;"ENTREGADO";"2026-05-14 00:04:56";"2026-05-14 00:05:00";"2026-07-14 00:10:31";"2026-07-14 00:10:37";5
10;1;11;5495.5;"ENTREGADO";"2026-05-14 00:07:08";"2026-05-14 00:07:13";"2026-07-14 00:10:33";"2026-07-14 00:10:39";3
11;1;11;6210.9;"ENTREGADO";"2026-06-14 00:25:25";"2026-06-14 00:25:29";"2026-07-14 00:27:24";"2026-07-14 00:27:28";2
12;1;9;2428.9;"ENTREGADO";"2026-06-14 00:27:00";"2026-06-14 00:27:05";"2026-07-14 00:27:26";"2026-07-14 00:27:30";3
13;1;8;1096.7;"ENTREGADO";"2026-07-01 00:35:23";"2026-07-01 00:35:27";"2026-07-14 00:45:46";"2026-07-14 00:45:56";5
14;1;7;1308.3;"ENTREGADO";"2026-07-02 00:37:40";"2026-07-02 00:37:45";"2026-07-14 00:45:47";"2026-07-14 00:45:58";4
15;1;6;1701.1;"ENTREGADO";"2026-07-08 00:40:09";"2026-07-08 00:40:12";"2026-07-14 00:45:49";"2026-07-14 00:46:00";2
16;1;5;2352.5;"ENTREGADO";"2026-07-09 00:41:45";"2026-07-09 00:41:49";"2026-07-14 00:45:51";"2026-07-14 00:46:02";3
17;1;4;823.4;"ENTREGADO";"2026-07-11 00:44:51";"2026-07-11 00:44:55";"2026-07-14 00:45:53";"2026-07-14 00:46:04";5
18;1;3;870.0;"PENDIENTE_DESPACHO";"2026-07-13 00:49:33";"2026-07-13 00:49:39";"";"";4
